Row;s_RTS_code;e_full_name;s_sec_type_name_dop;s_sec_form_name_full;s_zagolovok_adr;s_ISIN_code;s_CFI_code;s_trade_lot;s_step_price;s_currency_kotir;s_trade_in_date;Торговый календарь
1106;NTUS;Natus Medical Incorporated;Акции;Акции иностранного эмитента обыкновенные;;US6390501038;;1,00;0,01;USD;04.04.2019 0:00:00;Эмитенты с листингом в США
1107;NU;Nu Holdings Ltd.;Акции;Акции иностранного эмитента обыкновенные класса A;;KYG6683N1034;;1,00;0,01;USD;09.12.2021 0:00:00;Эмитенты с листингом в США
1108;NUE;Nucor Corporation;Акции;Акции иностранного эмитента обыкновенные;;US6703461052;;1,00;0,01;USD;14.06.2017 0:00:00;Эмитенты с листингом в США
1109;NUS;Nu Skin Enterprises, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US67018T1051;;1,00;0,01;USD;28.02.2019 0:00:00;Эмитенты с листингом в США
1110;NUVA;NuVasive, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US6707041058;;1,00;0,01;USD;04.04.2019 0:00:00;Эмитенты с листингом в США
1111;NVAX;Novavax, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US6700024010;;1,00;0,01;USD;10.11.2021 0:00:00;Эмитенты с листингом в США
1112;NVCR;NovoCure Limited;Акции;Акции иностранного эмитента обыкновенные;;JE00BYSS4X48;;1,00;0,01;USD;01.06.2021 0:00:00;Эмитенты с листингом в США
1113;NVDA;NVIDIA Corporation;Акции;Акции иностранного эмитента обыкновенные;;US67066G1040;;1,00;0,01;USD;26.10.2016 0:00:00;Эмитенты с листингом в США
1114;NVEE;NV5 Global, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US62945V1098;;1,00;0,01;USD;31.10.2019 0:00:00;Эмитенты с листингом в США
1115;NVR;NVR, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US62944T1051;;1,00;0,01;USD;31.01.2019 0:00:00;Эмитенты с листингом в США
1116;NVRO;Nevro Corp.;Акции;Акции иностранного эмитента обыкновенные;;US64157F1030;;1,00;0,01;USD;18.05.2020 0:00:00;Эмитенты с листингом в США
1117;NVS;JPMorgan Chase Bank, N.A.;Депозитарные расписки;Депозитарные расписки иностранного эмитента на акции обыкновенные;Депозитарные расписки JPMorgan Chase Bank, N.A., удостоверяющие права в отношении обыкновенных акций  Novartis AG;US66987V1098;;1,00;0,01;USD;25.02.2021 0:00:00;Эмитенты с листингом в США
1118;NVST;Envista Holdings Corporation;Акции;Акции иностранного эмитента обыкновенные;;US29415F1049;;1,00;0,01;USD;10.11.2021 0:00:00;Эмитенты с листингом в США
1119;NVTA;Invitae Corporation;Акции;Акции иностранного эмитента обыкновенные;;US46185L1035;;1,00;0,01;USD;05.08.2019 0:00:00;Эмитенты с листингом в США
1120;NVTK@GS;The Bank of New York Mellon;Депозитарные расписки;Депозитарные расписки иностранного эмитента на акции обыкновенные;Депозитарные расписки The Bank of New York Mellon, удостоверяющие права в отношении обыкновенных акций  ПАО «НОВАТЭК»;US6698881090;;1,00;0,01;USD;22.04.2021 0:00:00;Эмитенты с листингом на LSE
1121;NWE;NorthWestern Corp;Акции;Акции иностранного эмитента обыкновенные;;US6680743050;;1,00;0,01;USD;13.10.2020 0:00:00;Эмитенты с листингом в США
1122;NWL;Newell Brands Inc.;Акции;Акции иностранного эмитента обыкновенные;;US6512291062;;1,00;0,01;USD;14.06.2017 0:00:00;Эмитенты с листингом в США
1123;NWLI;National Western Life Group, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US6385171029;;1,00;0,01;USD;29.07.2020 0:00:00;Эмитенты с листингом в США
1124;NWS;News Corporation;Акции;Акции иностранного эмитента обыкновенные класса B;;US65249B2088;;1,00;0,01;USD;14.06.2017 0:00:00;Эмитенты с листингом в США
